식품이름,1회제공량 (g),탄수화물 (g),단백질 (g),지방 (g),당류 (g),나트륨 (mg),콜레스테롤 (mg),포화지방산 (g),트랜스지방산 (g)
리치골드야채,137,0.0,17.26,0.0,8.49,475.39,0.0,7.81,0.0
리치골드직화불고기,150,0.0,22.8,0.0,9.3,609.0,0.0,8.55,0.0
리치골드치즈,131,0.0,19.13,0.0,7.6,516.14,0.0,9.3,0.0
리치골드코코넛쉬림프,164,0.0,24.6,0.0,11.15,813.44,0.0,10.99,0.0
리치골드페퍼로니,128,0.0,16.26,0.0,7.42,469.76,0.0,7.68,0.0
리치골드하와이안,129,0.0,15.74,0.0,7.74,456.66,0.0,6.84,0.0
리치골드미니바비큐치킨,162,0.0,26.24,0.0,8.91,759.78,0.0,10.37,0.0
리치골드미니베이컨포테이토,159,0.0,24.8,0.0,7.95,696.42,0.0,10.34,0.0
리치골드미니수퍼슈프림,158,0.0,25.28,0.0,8.37,747.34,0.0,10.59,0.0
리치골드미니스파이시치킨,161,0.0,26.57,0.0,8.53,764.75,0.0,11.59,0.0
리치골드미니직화불고기,156,0.0,25.9,0.0,8.27,691.08,0.0,9.98,0.0
리치골드베이컨포테이토,148,0.0,22.5,0.0,5.33,649.72,0.0,8.73,0.0
리치골드수퍼슈프림,135,0.0,19.98,0.0,5.13,583.2,0.0,8.37,0.0
리치골드직화불고기,136,0.0,20.94,0.0,5.17,537.2,0.0,7.62,0.0
리치바이트,120,0.0,14.4,0.0,9.6,528.0,0.0,4.08,0.0
리치바이트킹,188,0.0,35.72,0.0,24.44,1240.8,0.0,9.4,0.0
리치바이트피자,88,0.0,7.92,0.0,3.52,153.56,0.0,2.64,0.0
마루콤비네이션피자,177,0.0,41.6,0.0,11.51,1799.2,0.0,12.57,0.0
메가불고기더블,121,0.0,19.36,0.0,8.47,592.9,0.0,13.31,0.0
멕시칸바이트피자,196,141.12,58.8,25.48,37.24,1489.6,19.6,17.64,0.0
멕시칸칠리오리진,112,0.0,14.61,0.0,8.51,565.02,0.0,5.21,0.0
멕시칸칠리치즈캡,124,0.0,19.49,0.0,9.42,731.0,0.0,6.75,0.0
명품쌀피자불고기피자,100,0.0,14.62,0.0,3.94,449.78,0.0,2.76,0.0
명품쌀피자슈퍼콤비네이션피자,100,0.0,14.21,0.0,4.08,485.48,0.0,3.01,0.0
명품쌀피자야채피자,100,0.0,14.06,0.0,4.28,465.84,0.0,2.81,0.0
명품쌀피자치즈피자,100,0.0,14.91,0.0,3.87,496.8,0.0,4.31,0.0
명품쌀피자페파로니피자,100,0.0,16.12,0.0,3.67,507.49,0.0,3.69,0.0
명품쌀피자포테이토피자,100,0.0,11.03,0.0,3.68,386.25,0.0,2.27,0.0
미스터피자콤보오리진,117,0.0,16.85,0.0,4.5,481.04,0.0,5.73,0.0
미스터피자콤보치즈캡,129,0.0,22.02,0.0,4.96,640.08,0.0,7.35,0.0
바베큐폭립피자,104,38.48,14.56,8.32,5.2,374.4,5.2,4.58,0.0
바베큐휠레피자,113,0.0,18.25,0.0,4.57,863.89,0.0,3.89,0.0
바사크브런치스크린,123,0.0,17.34,0.0,4.55,701.47,0.0,7.99,0.0
바사크브런치피타,110,0.0,15.51,0.0,6.38,363.33,0.0,13.42,0.0
바사크새우스크린,111,0.0,19.76,0.0,6.22,442.33,0.0,9.99,0.0
바사크새우피타조각,180,0.0,52.2,0.0,18.72,1194.3,0.0,23.4,0.0
바이트골드피자,131,0.0,20.96,0.0,10.48,694.3,0.0,5.24,0.0
발사믹피자,163,0.0,41.79,0.0,8.1,576.51,0.0,7.89,0.0
밤고구마라이스골드,146,0.0,25.69,0.0,5.16,314.16,0.0,7.11,0.0
밤고구마라이스바이트,162,0.0,28.43,0.0,7.31,492.98,0.0,10.11,0.0
밤고구마백미떡도우,114,0.0,9.81,0.0,2.96,156.85,0.0,4.38,0.0
밤고구마석쇠,104,0.0,11.86,0.0,3.17,155.51,0.0,4.14,0.0
밤고구마치즈크러스트,132,0.0,21.55,0.0,4.45,233.17,0.0,6.0,0.0
밤고구마팬,109,0.0,13.08,0.0,3.44,164.76,0.0,4.36,0.0
밤고구마흑미떡도우,114,0.0,10.36,0.0,3.22,156.85,0.0,4.38,0.0
밤스위트골드,171,0.0,47.11,0.0,8.79,514.59,0.0,11.22,0.0
밤스위트골드,155,0.0,39.09,0.0,5.39,357.51,0.0,11.11,0.0
밤호박라이스골드,136,0.0,23.52,0.0,4.94,254.37,0.0,6.52,0.0
밤호박라이스바이트,152,0.0,26.21,0.0,7.01,419.78,0.0,9.37,0.0
밤호박백미떡도우,104,0.0,8.63,0.0,2.8,113.82,0.0,3.91,0.0
밤호박석쇠,94,0.0,10.43,0.0,2.95,114.11,0.0,3.67,0.0
밤호박치즈크러스트,122,0.0,19.54,0.0,4.23,181.18,0.0,5.45,0.0
밤호박팬,99,0.0,11.58,0.0,3.22,121.79,0.0,3.89,0.0
밤호박흑미떡도우,104,0.0,9.13,0.0,3.04,113.82,0.0,3.91,0.0
버섯야채피자씬,158,0.0,37.92,0.0,7.9,786.84,0.0,20.54,0.0
버섯야채피자씬,168,0.0,43.68,0.0,8.4,892.08,0.0,21.84,0.0
버섯야채피자팬,129,0.0,24.51,0.0,7.74,687.57,0.0,7.74,0.0
버섯야채피자씬,100,0.0,15.0,0.0,3.18,304.07,0.0,7.24,0.0
베이컨살라미레귤러,70,16.2,6.59,4.1,1.66,230.65,0.0,2.12,0.0
베이컨살라미스크린,121,42.27,23.04,18.13,8.53,658.65,0.0,8.97,0.0
베이컨살라미팬,123,64.51,13.48,10.45,3.94,378.91,0.0,9.69,0.0
베이컨살라미피타,91,20.83,12.97,13.58,3.48,376.33,0.0,7.76,0.0
베이컨수프림레귤러,141,0.0,30.03,0.0,7.76,829.64,0.0,12.97,0.0
베이컨수프림스크린,141,57.63,30.1,20.69,7.77,829.65,0.0,12.96,0.0
베이컨수프림치크,189,72.13,67.06,45.34,11.56,2026.36,0.0,20.14,0.0
베이컨수프림팬,170,83.12,42.6,29.9,9.06,1223.11,0.0,17.28,0.0
베이컨수프림피타,134,40.02,32.52,28.2,7.03,626.26,0.0,16.47,0.0
베이컨체다치즈나폴리,191,0.0,56.54,0.0,7.26,1530.29,0.0,23.68,0.0
베이컨체다치즈씬조각,88,0.0,15.58,0.0,1.76,424.16,0.0,8.62,0.0
베이컨체다치즈스몰피자,148,0.0,28.12,0.0,7.4,870.24,0.0,13.32,0.0
베이컨체다치즈피자씬,116,0.0,31.55,0.0,4.2,906.19,0.0,14.62,0.0
베이컨체다치즈피자오리지널,127,0.0,24.26,0.0,4.83,723.65,0.0,8.89,0.0
베이컨포테이토바이트,134,0.0,26.8,0.0,10.72,576.2,0.0,6.7,0.0
베이컨포테이토바이트피자,90,0.0,10.8,0.0,3.6,252.0,0.0,2.7,0.0
베지테리안오리진,103,0.0,12.22,0.0,4.53,344.07,0.0,3.86,0.0
베지테리안치즈캡,116,0.0,16.85,0.0,5.1,486.13,0.0,5.27,0.0
볶은김치불고기,134,0.0,20.1,0.0,16.08,696.8,0.0,5.49,0.0
불갈비바이트,122,0.0,19.52,0.0,10.98,634.4,0.0,5.0,0.0
불갈비바이트킹,231,0.0,64.68,0.0,41.58,2240.7,0.0,16.17,0.0
불갈비바이트피자,91,0.0,8.19,0.0,3.64,278.46,0.0,2.73,0.0
불갈비피자,189,0.0,51.37,0.0,15.27,2033.64,0.0,17.05,0.0
불고기나폴리,104,0.0,16.33,0.0,3.74,441.69,0.0,4.47,0.0
불고기씬,92,0.0,14.17,0.0,4.23,419.8,0.0,6.81,0.0
불고기오리지널,126,0.0,22.68,0.0,7.69,708.75,0.0,6.93,0.0
불고기바이트피자,110,0.0,10.56,0.0,5.61,752.29,0.0,4.29,0.0
불고기피자,180,0.0,34.74,0.0,11.7,2071.62,0.0,9.0,0.0
불고기레귤러,58,9.6,5.24,2.77,1.43,142.27,0.0,1.64,0.0
불고기스몰피자,151,0.0,28.69,0.0,7.55,850.13,0.0,10.57,0.0
불고기스크린,101,27.81,15.38,11.59,5.19,457.34,0.0,6.54,0.0
불고기치크,134,50.61,28.01,15.61,6.92,870.85,0.0,8.82,0.0
불고기팬,119,59.35,12.72,7.77,4.38,190.21,0.0,7.35,0.0
불고기피타,71,11.13,8.67,7.1,2.25,190.11,0.0,4.32,0.0
불고기피자,100,0.0,12.0,0.0,3.61,362.49,0.0,3.0,0.0
빙고슈프림피자씬,100,0.0,15.84,0.0,2.34,353.25,0.0,7.47,0.0
빙고슈프림피자씬,157,0.0,37.68,0.0,6.28,912.17,0.0,21.98,0.0
빙고슈프림피자씬,167,0.0,41.75,0.0,8.35,1033.73,0.0,25.05,0.0
수제소시지피자,162,0.0,32.89,0.0,7.78,1397.57,0.0,23.0,0.0
수퍼수프림스크린,126,0.0,13.86,0.0,7.94,905.06,0.0,9.32,0.0
수퍼슈프림레귤러,71,15.75,7.61,3.83,1.81,237.18,0.0,2.0,0.0
수퍼슈프림치크,151,71.14,32.29,20.98,9.26,1190.9,0.0,10.49,0.0
수퍼슈프림팬,125,66.25,11.72,10.16,4.53,666.72,0.0,9.22,0.0
수퍼슈프림피타,98,25.78,14.99,12.14,4.21,419.71,0.0,7.0,0.0
쉬림푸스나폴리,135,0.0,25.65,0.0,2.16,754.52,0.0,7.16,0.0
쉬림푸스씬,100,0.0,14.64,0.0,3.61,526.87,0.0,5.13,0.0
쉬림푸스오리지널,160,0.0,31.84,0.0,8.19,980.96,0.0,10.08,0.0
쉬림푸스피자씬,140,0.0,29.68,0.0,7.45,989.38,0.0,12.74,0.0
쉬림푸스피자오리지널,192,0.0,46.46,0.0,13.31,1526.59,0.0,15.36,0.0
쉬림프누드,131,0.0,11.18,0.0,7.99,654.97,0.0,11.1,0.0
쉬림프오리진,110,0.0,8.28,0.0,4.22,500.47,0.0,6.78,0.0
쉬림프골드,129,0.0,23.67,0.0,3.64,308.73,0.0,4.1,0.0
쉬림프디럭스엣지,114,0.0,13.68,0.0,4.79,534.89,0.0,2.96,0.0
슈퍼디럭스나폴리,122,0.0,19.89,0.0,3.54,608.41,0.0,6.71,0.0
슈퍼디럭스씬,107,0.0,18.83,0.0,3.79,596.74,0.0,7.7,0.0
슈퍼디럭스오리지널,148,0.0,26.94,0.0,6.87,948.83,0.0,8.88,0.0
슈퍼디럭스스몰피자,166,0.0,34.86,0.0,8.3,1160.34,0.0,13.28,0.0
슈퍼디럭스피자씬,115,0.0,20.7,0.0,3.3,697.02,0.0,9.09,0.0
슈퍼디럭스피자오리지널,166,0.0,35.86,0.0,6.84,1201.34,0.0,10.79,0.0
슈퍼슈프림나폴리,132,0.0,22.57,0.0,6.73,625.42,0.0,5.28,0.0
슈퍼슈프림씬,117,0.0,20.12,0.0,4.57,695.68,0.0,8.07,0.0
슈퍼슈프림오리지널,157,0.0,29.36,0.0,9.07,985.17,0.0,7.85,0.0
슈퍼슈프림라이스골드,155,0.0,38.35,0.0,5.83,401.03,0.0,11.67,0.0
슈퍼슈프림라이스바이트,165,0.0,42.42,0.0,8.37,357.72,0.0,5.54,0.0
슈퍼슈프림백미떡도우,102,0.0,9.78,0.0,1.87,188.69,0.0,2.9,0.0
슈퍼슈프림석쇠,110,0.0,19.55,0.0,3.61,232.88,0.0,3.48,0.0
슈퍼슈프림치즈크러스트,155,0.0,38.35,0.0,5.83,401.03,0.0,11.67,0.0
슈퍼슈프림팬,118,0.0,22.63,0.0,4.18,254.33,0.0,3.79,0.0
슈퍼슈프림흑미떡도우,102,0.0,10.06,0.0,2.04,188.69,0.0,2.9,0.0
슈퍼슈프림스몰피자,178,0.0,37.38,0.0,12.46,1229.98,0.0,14.24,0.0
슈퍼슈프림피자씬,117,0.0,20.12,0.0,4.57,695.68,0.0,8.42,0.0
슈퍼슈프림피자오리지널,157,0.0,29.36,0.0,9.07,985.17,0.0,7.22,0.0
슈퍼슈프림피자라이스골드,163,0.0,43.15,0.0,8.88,453.87,0.0,11.25,0.0
슈퍼슈프림피자라이스바이트,172,0.0,44.57,0.0,7.91,641.92,0.0,11.52,0.0
슈퍼슈프림피자석쇠,121,0.0,23.41,0.0,4.4,265.34,0.0,4.07,0.0
슈퍼슈프림피자치즈크러스트,134,0.0,29.64,0.0,4.85,332.12,0.0,6.53,0.0
슈퍼슈프림피자팬,131,0.0,27.81,0.0,5.23,293.94,0.0,4.49,0.0
슈퍼콤비네이션피자,184,0.0,47.84,0.0,14.72,1672.56,0.0,12.88,0.0
스위스퐁듀피자더블,144,0.0,28.37,0.0,7.92,970.85,0.0,18.29,0.0
스위스퐁듀피자씬,104,0.0,16.85,0.0,5.28,516.88,0.0,8.32,0.0
스위스퐁듀피자오리지널,142,0.0,25.84,0.0,8.92,958.22,0.0,9.51,0.0
스위트히든엣지오리지널,165,0.0,28.43,0.0,8.51,1203.69,0.0,11.04,0.0
스위트골드스크린,129,0.0,20.12,0.0,8.64,793.09,0.0,8.26,0.0
스위트골드팬,129,71.46,14.16,11.16,8.16,926.64,0.0,9.49,0.0
스위트골드피타,117,0.0,16.03,0.0,14.04,483.33,0.0,11.11,0.0
스위트골드피자,199,0.0,55.72,0.0,23.88,1806.92,0.0,9.95,0.0
스위트포테이토레귤러,77,17.79,8.46,6.66,2.25,247.65,0.0,3.33,0.0
스위트포테이토스크린,104,29.34,18.73,14.54,5.03,496.45,0.0,6.94,0.0
스위트포테이토치크,138,51.88,26.85,24.38,7.25,905.49,0.0,11.88,0.0
스위트포테이토팬,123,63.74,12.81,11.45,8.44,422.49,0.0,8.74,0.0
스위트포테이토피타,85,17.81,11.92,13.19,2.91,291.61,0.0,6.72,0.0
스위티피자오리진,137,0.0,14.49,0.0,13.36,538.8,0.0,6.88,0.0
스위티피자치즈캡,149,0.0,19.73,0.0,14.53,712.7,0.0,8.67,0.0
스윗나마스떼스크린,130,57.06,16.73,13.73,10.21,764.49,0.0,8.05,0.0
스윗나마스떼치크,180,70.87,52.01,39.01,20.65,1632.39,0.0,18.86,0.0
스윗나마스떼팬,162,81.17,29.93,24.74,17.31,897.82,0.0,16.18,0.0
스윗나마스떼피타,116,33.72,16.64,17.5,10.9,434.69,0.0,11.32,0.0
스테이크불갈비바이트피자,115,0.0,16.44,0.0,6.78,743.82,0.0,6.78,0.0
스테이크불갈비피자,190,0.0,54.53,0.0,15.39,2046.11,0.0,17.1,0.0
스테이크불새피자,101,0.0,15.45,0.0,4.85,618.32,0.0,4.24,0.0
스테이크새우피자,204,0.0,54.04,0.0,31.59,2372.11,0.0,9.1,0.0
스테이크피자,175,105.0,36.75,26.25,12.25,2607.5,8.75,15.75,1.23
스페셜쌀피자고구마피자,100,0.0,9.61,0.0,5.22,367.25,0.0,2.61,0.0
스페셜쌀피자단호박피자,100,0.0,10.94,0.0,5.39,355.36,0.0,2.72,0.0
스페셜쌀피자도이치소시지피자,100,0.0,15.14,0.0,5.58,533.72,0.0,3.83,0.0
스페셜쌀피자스위트골드피자,100,0.0,13.3,0.0,4.95,444.99,0.0,2.95,0.0
스피나치오크레마스크린,131,56.26,18.66,10.64,7.19,680.15,0.0,9.56,0.0
스피나치오크레마치크,152,88.1,37.92,19.35,7.76,1273.25,0.0,9.55,0.0
스피나치오크레마팬,134,63.29,19.46,8.48,5.78,649.89,0.0,7.76,0.0
스피나치오크레마피타,109,30.58,15.66,12.63,2.97,419.69,0.0,10.68,0.0
시크릿가든누드,106,0.0,8.96,0.0,3.54,240.14,0.0,4.19,0.0
시크릿가든오리진,115,0.0,10.97,0.0,3.15,527.86,0.0,8.72,0.0
시크릿가든치즈캡,101,0.0,10.33,0.0,1.5,275.26,0.0,2.88,0.0
시크릿가든쿠키,111,0.0,10.03,0.0,4.98,229.66,0.0,4.54,0.0
씨크릿가든,133,68.6,15.34,15.15,5.47,703.14,32.45,12.52,0.0
씨푸드퐁듀나폴리도우,104,0.0,11.44,0.0,2.08,405.6,0.0,3.12,0.0
씨푸드퐁듀씬도우,170,0.0,32.3,0.0,10.2,1317.5,0.0,13.6,0.0
씨푸드퐁듀오리지널도우,127,0.0,16.51,0.0,3.81,622.3,0.0,5.08,0.0
씨푸드퐁듀나폴리도우,161,0.0,25.76,0.0,6.44,1015.91,0.0,8.05,0.0
씨푸드퐁듀씬도우,160,0.0,27.2,0.0,8.0,1049.6,0.0,12.8,0.0
씨푸드퐁듀오리지널도우,206,0.0,43.26,0.0,8.24,1571.78,0.0,10.3,0.0
씨푸드골드피자,122,0.0,17.08,0.0,8.54,839.36,0.0,3.66,0.0
씨푸드아일랜드골드,132,0.0,21.69,0.0,4.22,743.19,0.0,6.62,0.0
씨푸드아일랜드누드,136,0.0,21.0,0.0,5.56,732.17,0.0,7.47,0.0
씨푸드아일랜드오리진,115,0.0,16.6,0.0,2.09,567.35,0.0,3.66,0.0
씨푸드아일랜드치즈캡,127,0.0,21.72,0.0,2.31,734.55,0.0,5.05,0.0
씨푸드아일랜드쿠키,141,0.0,22.73,0.0,7.65,724.47,0.0,7.89,0.0
씨푸드앤갈릭포테이토,137,0.0,21.92,0.0,9.59,671.3,0.0,5.48,0.0
씨푸드앤갈릭포테이토킹,259,0.0,75.11,0.0,36.26,2356.9,0.0,18.13,0.0
씨푸뜨아스크린,122,43.12,21.02,16.15,8.08,797.34,0.0,7.32,0.0
씨푸뜨아치크,149,40.52,42.84,27.66,10.37,1409.23,0.0,9.6,0.0
씨푸뜨아팬,131,49.68,24.02,15.93,8.09,776.99,0.0,7.8,0.0
씨푸뜨아피타,118,31.48,19.87,22.02,7.06,678.47,0.0,11.56,0.0
씬더블바비큐,183,0.0,36.6,0.0,4.03,1542.69,0.0,10.98,0.0
씬바비큐치킨,190,0.0,37.05,0.0,5.13,1673.9,0.0,11.59,0.0
씬베이컨포테이토,199,0.0,40.2,0.0,2.79,1777.07,0.0,12.94,0.0
씬수퍼슈프림,174,0.0,33.58,0.0,3.13,1529.46,0.0,12.35,0.0
씬야채,148,0.0,22.64,0.0,2.52,1015.28,0.0,8.88,0.0
씬직화불고기,175,0.0,35.7,0.0,3.15,1408.75,0.0,10.5,0.0
씬치즈,137,0.0,26.44,0.0,1.51,1069.97,0.0,12.19,0.0
씬페퍼로니,131,0.0,20.17,0.0,1.44,951.06,0.0,8.65,0.0
씬하와이안,146,0.0,23.36,0.0,1.75,1055.58,0.0,8.76,0.0
아이다호포테이토스크린,124,55.51,13.22,18.45,4.15,394.55,0.0,13.53,0.0
아이다호포테이토치크,143,48.67,30.15,30.43,5.92,959.32,0.0,16.3,0.0
아이다호포테이토팬,130,60.8,17.68,13.51,5.08,651.39,0.0,8.23,0.0
아이다호포테이토피타,97,27.97,10.69,13.58,2.87,390.53,0.0,7.36,0.0
아이리쉬포테이토피자,176,0.0,35.2,0.0,12.32,1056.0,0.0,8.62,0.0
야채바이트피자,103,0.0,14.52,0.0,5.87,558.26,0.0,4.64,0.0
야채피자,165,0.0,40.29,0.0,12.74,1431.05,0.0,10.26,0.0
오마이립골드,132,0.0,21.96,0.0,12.18,655.07,0.0,7.33,0.0
오마이립누드,135,0.0,21.12,0.0,13.66,636.66,0.0,8.14,0.0
오마이립오리진,114,0.0,16.69,0.0,8.95,486.32,0.0,4.24,0.0
오마이립치즈캡,127,0.0,21.98,0.0,9.97,649.77,0.0,5.74,0.0
오마이립쿠키,141,0.0,23.02,0.0,16.15,630.34,0.0,8.65,0.0
옥토쉬림프스크린,122,64.43,12.38,8.05,10.44,491.88,0.0,7.31,0.0
옥토쉬림프치크,141,59.34,29.0,18.33,13.18,1065.75,0.0,9.14,0.0
옥토쉬림프팬,151,74.17,32.3,15.66,7.13,893.73,0.0,9.21,0.0
옥토쉬림프피타,81,16.06,10.65,6.76,3.29,238.43,0.0,4.19,0.0
올라스페인피자씬,144,0.0,27.22,0.0,5.3,477.07,0.0,10.51,0.0
올라스페인피자오리지널,187,0.0,37.77,0.0,17.76,939.67,0.0,9.54,0.0
웨스틴콤보,153,0.0,27.54,0.0,9.18,1025.1,0.0,9.18,0.0
유어스페셜,144,91.65,15.76,17.42,7.05,307.31,2.7,11.4,0.0
이탈리안갈릭스테이크나폴리,140,0.0,27.72,0.0,6.44,739.06,0.0,8.54,0.0
이탈리안갈릭스테이크씬,123,0.0,23.86,0.0,3.94,687.69,0.0,9.47,0.0
이탈리안갈릭스테이크오리지널,166,0.0,35.03,0.0,7.87,1201.01,0.0,11.45,0.0
이탈리안베이컨피자,148,0.0,36.26,0.0,4.59,1128.06,0.0,17.91,0.0
이탈리안소시지피자냉동생지도우,139,0.0,26.41,0.0,12.51,903.5,0.0,8.34,0.0
이탈리안소시지피자생지도우,142,0.0,28.4,0.0,14.2,880.4,0.0,8.52,0.0
이탈리안치즈피자,163,0.0,45.31,0.0,10.27,1516.06,0.0,11.74,0.0
이탈리안치즈바이트피자,101,0.0,16.26,0.0,4.65,595.29,0.0,5.25,0.0
점보고구마피자,214,0.0,64.41,0.0,32.96,1291.06,0.0,19.26,0.0
점보불고기피자,195,0.0,62.01,0.0,23.2,1184.82,0.0,25.55,0.0
점보불고기피자,223,0.0,62.44,0.0,13.38,2140.8,0.0,15.61,0.0
점보스테이크불갈비피자,205,0.0,52.48,0.0,24.19,1348.08,0.0,19.68,0.0
점보콤비네디션피자,205,0.0,51.25,0.0,12.3,1845.0,0.0,14.35,0.0
점보포테이토피자,207,0.0,47.82,0.0,25.05,1086.75,0.0,23.81,0.0
점보포테이토피자,225,0.0,69.75,0.0,15.75,1912.5,0.0,15.75,0.0
점보스폐셜피자,165,0.0,44.1,0.0,9.95,1955.25,0.0,13.3,0.0
점보콤비네이션피자,204,0.0,58.96,0.0,29.38,1304.58,0.0,17.14,0.0
죽순핫갈비라이스골드,175,0.0,37.63,0.0,5.4,346.02,0.0,9.57,0.0
죽순핫갈비라이스바이트,185,0.0,39.38,0.0,7.48,573.19,0.0,12.59,0.0
죽순핫갈비백미떡도우,121,0.0,13.2,0.0,2.25,168.23,0.0,5.27,0.0
죽순핫갈비석쇠,130,0.0,20.2,0.0,3.44,202.98,0.0,5.93,0.0
죽순핫갈비치즈크러스트,155,0.0,31.09,0.0,4.5,282.36,0.0,7.92,0.0
죽순핫갈비팬,138,0.0,22.69,0.0,3.89,218.84,0.0,6.33,0.0
죽순핫갈비흑미떡도우,121,0.0,13.53,0.0,2.46,168.23,0.0,5.27,0.0
진짜게살피자,206,0.0,55.62,0.0,20.6,2148.58,0.0,12.36,0.0
짱감자라이스골드,163,0.0,44.66,0.0,5.98,440.23,0.0,11.61,0.0
짱감자라이스바이트,173,0.0,49.1,0.0,8.6,394.7,0.0,5.1,0.0
짱감자백미떡도우,109,0.0,13.35,0.0,1.89,214.01,0.0,2.65,0.0
짱감자석쇠,118,0.0,24.12,0.0,3.75,263.21,0.0,3.24,0.0
짱감자치즈크러스트,143,0.0,36.47,0.0,5.05,371.9,0.0,6.41,0.0
짱감자팬,125,0.0,27.31,0.0,4.31,283.6,0.0,3.5,0.0
짱감자흑미떡도우,109,0.0,13.65,0.0,2.07,214.01,0.0,2.65,0.0
짱감자피자라이스골드,166,0.0,49.15,0.0,8.86,465.0,0.0,10.49,0.0
짱감자피자라이스바이트,174,0.0,50.55,0.0,7.83,652.29,0.0,10.65,0.0
짱감자피자석쇠,123,0.0,27.66,0.0,4.35,271.78,0.0,3.42,0.0
짱감자피자치즈크러스트,136,0.0,34.35,0.0,4.79,339.35,0.0,5.82,0.0
짱감자피자팬,133,0.0,32.41,0.0,5.17,300.65,0.0,3.79,0.0
치즈나폴리,78,0.0,10.84,0.0,1.95,206.78,0.0,3.12,0.0
치즈씬,67,0.0,10.45,0.0,1.21,215.54,0.0,4.89,0.0
치즈오리지널,106,0.0,14.95,0.0,2.32,405.56,0.0,4.13,0.0
치즈피자,146,99.28,40.88,20.44,26.28,1007.4,14.6,11.1,0.0
치즈바삭더블바비큐,108,0.0,14.04,0.0,3.24,533.52,0.0,7.56,0.0
치즈바삭바비큐치킨,102,0.0,13.26,0.0,4.08,518.16,0.0,7.14,0.0
치즈바삭베이컨포테이토,115,0.0,14.95,0.0,2.3,626.75,0.0,8.05,0.0
치즈바삭수퍼슈프림,103,0.0,13.39,0.0,3.09,550.02,0.0,7.21,0.0
치즈바삭직화불고기,104,0.0,13.52,0.0,3.12,496.08,0.0,7.28,0.0
치즈바삭치즈킹,111,0.0,17.76,0.0,3.33,653.79,0.0,11.1,0.0
치즈바삭통베이컨스테이크,104,0.0,13.52,0.0,5.2,537.68,0.0,7.28,0.0
치즈바이트더블바비큐,151,0.0,23.71,0.0,4.83,643.26,0.0,7.4,0.0
치즈바이트바비큐치킨,154,0.0,23.87,0.0,5.39,685.3,0.0,7.55,0.0
치즈바이트바비큐치킨,100,0.0,11.93,0.0,6.22,332.17,0.0,1.92,0.0
치즈바이트베이컨포테이토,160,0.0,25.28,0.0,4.48,721.6,0.0,8.16,0.0
치즈바이트수퍼슈프림,146,0.0,22.48,0.0,4.38,648.24,0.0,7.88,0.0
치즈바이트스파이시치킨,161,0.0,27.37,0.0,11.27,803.39,0.0,11.43,0.0
치즈바이트스파이시치킨마일드,159,0.0,28.62,0.0,5.88,822.03,0.0,11.93,0.0
치즈바이트스파이시치킨오리지널,161,0.0,28.98,0.0,5.15,814.66,0.0,11.43,0.0
치즈바이트야채,122,0.0,16.35,0.0,3.66,423.34,0.0,5.98,0.0
치즈바이트직화불고기,147,0.0,23.37,0.0,4.41,598.29,0.0,7.2,0.0
치즈바이트치즈,128,0.0,19.71,0.0,3.46,505.6,0.0,8.06,0.0
치즈바이트치즈킹,100,0.0,13.0,0.0,4.92,432.59,0.0,4.6,0.0
치즈바이트코코넛쉬림프,161,0.0,25.28,0.0,5.8,798.56,0.0,9.5,0.0
치즈바이트페퍼로니,125,0.0,16.75,0.0,3.38,458.75,0.0,6.5,0.0
치즈바이트하와이안,132,0.0,18.08,0.0,3.56,483.12,0.0,6.47,0.0
치즈케이크샌드,145,0.0,26.39,0.0,2.76,851.01,0.0,12.03,0.0
치즈크러스트더블바비큐,126,0.0,20.16,0.0,2.52,501.48,0.0,6.3,0.0
치즈크러스트바비큐치킨,129,0.0,19.35,0.0,2.58,536.64,0.0,6.45,0.0
치즈크러스트베이컨포테이토,133,0.0,21.28,0.0,1.33,562.59,0.0,6.65,0.0
치즈크러스트수퍼슈프림,122,0.0,18.3,0.0,1.22,507.52,0.0,6.1,0.0
치즈크러스트스파이시치킨,150,0.0,25.5,0.0,9.0,706.5,0.0,10.5,0.0
치즈크러스트스파이시치킨마일드,148,0.0,26.34,0.0,3.11,723.72,0.0,10.95,0.0
치즈크러스트스파이시치킨오리지널,150,0.0,26.85,0.0,2.4,717.0,0.0,10.5,0.0
치즈크러스트야채,123,0.0,16.24,0.0,1.72,392.37,0.0,5.78,0.0
치즈크러스트직화불고기,122,0.0,19.52,0.0,1.22,462.38,0.0,6.1,0.0
치즈크러스트치즈킹,127,0.0,22.86,0.0,2.54,675.64,0.0,10.16,0.0
치즈크러스트코코넛쉬림프,150,0.0,23.4,0.0,3.15,702.0,0.0,8.55,0.0
치즈크러스트페퍼로니,114,0.0,15.16,0.0,1.25,386.46,0.0,5.7,0.0
치즈크러스트하와이안,121,0.0,16.46,0.0,1.33,408.98,0.0,5.69,0.0
치즈크러스트미니베이컨포테이토,156,0.0,27.92,0.0,2.34,748.8,0.0,9.52,0.0
치즈크러스트미니바비큐치킨,160,0.0,29.6,0.0,3.2,819.2,0.0,9.6,0.0
치즈크러스트미니수퍼슈프림,155,0.0,28.36,0.0,2.79,798.25,0.0,9.77,0.0
치즈크러스트미니스파이시치킨,157,0.0,29.52,0.0,2.83,811.69,0.0,10.68,0.0
치즈크러스트미니직화불고기,153,0.0,28.92,0.0,2.6,743.58,0.0,9.03,0.0
